ParticleType,Energy
2pi-,804.769
pi+,462.248
pi+,462.248
2mu+,324.664
2mu+,324.664
2mu+,324.664
pi-,177.294
pi-,177.294
pi-,177.294
2pi-,175.815
2pi-,175.815
2pi-,175.815
pi+,427.344
pi+,427.344
2pi+,426.291
2pi+,426.291
pi-,457.78
pi-,457.78
pi-,457.78
2pi-,456.819
2pi-,456.819
2pi-,456.819
pi-,517.508
pi-,517.508
2mu-,383.38
2mu-,383.38
pi+,462.922
pi+,462.922
2mu+,384.735
2mu+,384.735
pi+,357.968
pi+,357.968
2mu+,228.882
2mu+,228.882
2mu+,228.882
pi-,1663.38
pi-,1663.38
2pi-,1662.26
2pi-,1662.26
pi-,754.251
pi-,754.251
2pi-,752.833
2pi-,752.833
pi-,448.622
pi-,448.622
2mu-,275.002
2mu-,275.002
pi+,208.698
pi+,208.698
pi+,208.698
2pi+,205.742
2pi+,205.742
2pi+,205.742
pi+,1440.78
pi+,1440.78
2pi+,1439.96
2pi+,1439.96
pi+,60.7748
pi+,60.7748
pi+,60.7748
2pi+,59.1344
2pi+,59.1344
2pi+,59.1344
pi+,238.616
pi+,238.616
pi+,238.616
2pi+,237.477
2pi+,237.477
2pi+,237.477
pi+,264.308
pi+,264.308
2mu+,133.872
2mu+,133.872
2mu+,133.872
pi-,994.753
pi-,994.753
2pi-,993.631
2pi-,993.631
pi+,240.712
pi+,240.712
pi+,240.712
2mu+,138.754
2mu+,138.754
2mu+,138.754
pi+,938.06
pi+,938.06
2pi+,937.226
2pi+,937.226
pi+,540.424
pi+,540.424
2pi+,539.379
2pi+,539.379
pi+,191.392
pi+,191.392
pi+,191.392
2pi+,190.171
2pi+,190.171
2pi+,190.171
pi-,399.017
pi-,399.017
2pi-,397.909
2pi-,397.909
pi+,310.677
pi+,310.677
2pi+,309.3
2pi+,309.3
pi+,321.029
pi+,321.029
2pi+,320.044
2pi+,320.044
pi-,1046.57
pi-,1046.57
2pi-,1045.41
2pi-,1045.41
pi+,459.812
pi+,459.812
2mu+,419.021
2mu+,419.021
pi+,229.669
pi+,229.669
pi+,229.669
2pi+,228.695
2pi+,228.695
2pi+,228.695
pi+,601.578
pi+,601.578
2pi+,600.664
2pi+,600.664
pi-,702.84
pi-,702.84
2pi-,701.684
2pi-,701.684
mu-,221.265
mu-,221.265
mu+,54.5364
mu+,54.5364
pi+,541.824
pi+,541.824
2pi+,540.772
2pi+,540.772
pi-,435.94
pi-,435.94
2pi-,433.727
2pi-,433.727
pi+,699.716
pi+,699.716
2pi+,698.789
2pi+,698.789
mu-,525.42
mu-,525.42
2mu-,524.428
2mu-,524.428
pi+,622.931
pi+,622.931
2pi+,621.637
2pi+,621.637
pi-,337.501
pi-,337.501
2pi-,335.984
2pi-,335.984
pi+,622.321
pi+,622.321
2pi+,621.03
2pi+,621.03
pi+,340.166
pi+,340.166
2pi+,338.713
2pi+,338.713
pi-,649.486
pi-,649.486
2pi-,648.236
2pi-,648.236
pi-,406.392
pi-,406.392
2pi-,405.364
2pi-,405.364
pi+,492.429
pi+,492.429
2pi+,490.943
2pi+,490.943
pi+,329.459
pi+,329.459
2mu+,188.963
2mu+,188.963
2mu+,188.963
pi+,245.517
pi+,245.517
pi+,245.517
2pi+,244.558
2pi+,244.558
2pi+,244.558
pi-,422.749
pi-,422.749
2pi-,421.719
2pi-,421.719
pi-,618.135
pi-,618.135
2pi-,615.932
2pi-,615.932
pi+,1158.13
pi+,1158.13
2pi+,1157.15
2pi+,1157.15
pi-,987.652
pi-,987.652
2mu-,903.817
2mu-,903.817
pi+,152.456
pi+,152.456
pi+,152.456
2mu+,147.559
2mu+,147.559
2mu+,147.559
pi-,923.938
pi-,923.938
2mu-,857.883
2mu-,857.883
pi-,375.512
pi-,375.512
2pi-,373.954
2pi-,373.954
pi-,489.191
pi-,489.191
2pi-,486.368
2pi-,486.368
pi-,372.675
pi-,372.675
2mu-,276.375
2mu-,276.375
pi-,407.616
pi-,407.616
2mu-,344.858
2mu-,344.858
pi+,1007.13
pi+,1007.13
2pi+,1006.04
2pi+,1006.04
pi+,371.805
pi+,371.805
2pi+,370.754
2pi+,370.754
mu-,144.792
mu-,144.792
mu-,144.792
2mu-,142.366
2mu-,142.366
2mu-,142.366
pi-,257.309
pi-,257.309
pi-,257.309
2pi-,256.243
2pi-,256.243
pi-,440.208
pi-,440.208
2pi-,439.131
2pi-,439.131
pi+,576.252
pi+,576.252
2mu+,409.335
2mu+,409.335
pi-,449.944
pi-,449.944
2pi-,448.454
2pi-,448.454
pi-,363.893
pi-,363.893
2pi-,361.775
2pi-,361.775
pi-,260.045
pi-,260.045
pi-,260.045
2mu-,155.644
2mu-,155.644
2mu-,155.644
pi-,432.144
pi-,432.144
2pi-,431.182
2pi-,431.182
pi+,314.519
pi+,314.519
pi+,314.519
2pi+,313.302
2pi+,313.302
2pi+,313.302
pi+,280.438
pi+,280.438
pi+,280.438
2pi+,278.784
2pi+,278.784
2pi+,278.784
pi-,226.87
pi-,226.87
pi-,226.87
2pi-,225.93
2pi-,225.93
2pi-,225.93
pi+,229.522
pi+,229.522
2mu+,133.628
2mu+,133.628
2mu+,133.628
pi+,318.401
pi+,318.401
2pi+,316.901
2pi+,316.901
pi-,533.623
pi-,533.623
2mu-,359.632
2mu-,359.632
2mu-,359.632
pi+,176.264
pi+,176.264
pi+,176.264
2pi+,174.863
2pi+,174.863
2pi+,174.863
pi-,540.828
pi-,540.828
2pi-,539.945
2pi-,539.945
mu-,527.346
mu-,527.346
2mu-,526.237
2mu-,526.237
pi+,135.114
pi+,135.114
pi+,135.114
2mu+,60.9484
2mu+,60.9484
2mu+,60.9484
pi-,686.166
pi-,686.166
2pi-,684.41
2pi-,684.41
pi+,601.36
pi+,601.36
2pi+,600.515
2pi+,600.515
pi-,194.721
pi-,194.721
pi-,194.721
2pi-,193.436
2pi-,193.436
2pi-,193.436
pi+,281.681
pi+,281.681
2pi+,280.415
2pi+,280.415
pi-,386.193
pi-,386.193
2mu-,371.104
2mu-,371.104
pi+,208.979
pi+,208.979
2mu+,125.954
2mu+,125.954
2mu+,125.954
pi-,99.0828
pi-,99.0828
pi-,99.0828
2pi-,97.3144
2pi-,97.3144
2pi-,97.3144
pi-,499.379
pi-,499.379
2pi-,498.268
2pi-,498.268
pi-,411.564
pi-,411.564
2mu-,379.388
2mu-,379.388
pi+,110.702
pi+,110.702
pi+,110.702
2mu+,59.1382
2mu+,59.1382
2mu+,59.1382
pi-,240.53
